Track,Artist,URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorusHit,sections
Up to Me,Roger McGuinn,spotify:track:2Yvm4TvVBg6uBO6GXvILEl,0.572,0.55,4,-13.12,1,0.0401,0.407,0,0.118,0.79,95.525,337600,4,40.73327,8,0
Groover's Paradise,Doug Sahm Tex Mex Trip,spotify:track:5a9XJbbsMevTf0SVsMlFF3,0.7,0.434,9,-13.944,1,0.0324,0.192,0,0.0712,0.872,126.488,204800,4,20.95173,14,0
Freedom,Jimi Hendrix,spotify:track:494aMHJOpaMyyxaqcmbjLi,0.518,0.9,5,-5.249,0,0.0481,0.0208,0.00454,0.136,0.707,112.217,205987,4,26.67037,8,1
Yes It's True,Flamin' Groovies,spotify:track:5AnLr24Ra8evdA0q2rCEWG,0.621,0.843,1,-8.565,0,0.0298,0.0307,2.29e-06,0.133,0.783,117.92,150146,4,44.99045,9,0
Let Me Be Your Car,Rod Stewart,spotify:track:634gk7hAnQPgVz5ZAUfJO7,0.41,0.804,5,-10.426,1,0.032,0.123,1.04e-06,0.126,0.944,155.982,297520,4,36.66766,9,0
Hands,Cowboys International,spotify:track:3oK2YCO5qMha4iv7cwscWu,0.645,0.532,7,-15.428,1,0.032,0.0189,0.000185,0.0739,0.756,128.245,195766,4,50.0391,9,0
The Weight - Live,New Riders of the Purple Sage,spotify:track:3516VrR1TwDaD6gBOPM4VK,0.488,0.297,9,-12.079,1,0.032,0.511,2.5e-05,0.579,0.215,115.69,456600,4,24.93486,22,0
Strange Town,The Jam,spotify:track:1IoCE925OTxvKCck51D4ip,0.332,0.746,0,-8.905,1,0.0888,0.00236,0.00381,0.109,0.507,154.968,227267,4,32.94965,13,0
Children's Heritage,Bloodrock,spotify:track:1Vg7m5fB2D1YiFyX3jCJwu,0.449,0.644,9,-12.018,1,0.0509,0.0212,1.6e-05,0.282,0.758,151.288,214000,4,17.33281,13,0
Hand Of Man,Country Joe & The Fish,spotify:track:6kvkJbjRHPbH3xXU50PT6f,0.577,0.548,7,-13.87,1,0.0276,0.326,1.33e-05,0.27,0.929,165.391,170667,4,27.72562,9,0
Please Don't Leave,Lauren Wood,spotify:track:6BDWKu4eOJgdSg9KA6Icn6,0.757,0.554,2,-9.822,1,0.0423,0.211,3.26e-05,0.053,0.859,124.061,238492,4,84.09528,8,1
I Walk the Line,Johnny Cash,spotify:track:7hxZF4jETnE5Q75rKQnMjE,0.713,0.258,9,-14.59,1,0.0384,0.877,0.00606,0.0967,0.56,98.805,176533,4,29.48833,10,0
Space Truckin',Deep Purple,spotify:track:44lAQJzaUI6hcpHEFqp2mJ,0.624,0.815,9,-10.542,1,0.0425,0.00343,0.622,0.175,0.758,129.191,274440,4,30.45189,11,0
Tokeymor Field,Klaatu,spotify:track:5uKQn1vD9hihhMVqwInKRP,0.718,0.483,7,-9.395,1,0.0329,0.666,0,0.109,0.654,128.859,208760,4,20.11664,10,0
