Track,Artist,URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorusHit,sections
I've Waited So Long,The Motions,spotify:track:2cGVKQgTa2bEMW21CB10cr,0.408,0.928,0,-8.682,1,0.15,0.228,2.99e-06,0.501,0.671,101.195,115187,4,52.64996,5
The Nile Song,Pink Floyd,spotify:track:4YJ1sPlEa0nSUVzsLlZ7Zz,0.135,0.835,3,-9.112,0,0.0496,0.00456,0.0056,0.0364,0.269,182.613,206960,4,41.33232,11
You've Got What I Want - Single Version,The Sorrows,spotify:track:3TfMfqmojATnJGG8ovhKyM,0.362,0.931,0,-6.129,1,0.106,0.0719,0.0207,0.297,0.522,93.462,118560,4,52.94578,6
Run Run Run,The Velvet Underground,spotify:track:1OCktgAw0nYWHq5VeSRXTi,0.454,0.712,7,-11.125,1,0.129,0.688,0.0653,0.067,0.541,142.342,262360,4,32.30269,15
All The Better To See You With,The Blues Magoos,spotify:track:53a58OswrxxqaufOmx5JoW,0.36,0.88,4,-4.154,1,0.144,0.17,0,0.207,0.707,152.566,139120,4,29.5095,7
Les Champs-ElysÃÂÃÂ©es,Joe Dassin,spotify:track:4VWbPQUPvLes814r6T11Jz,0.783,0.454,4,-8.251,1,0.0489,0.456,0,0.155,0.711,111.577,157627,4,26.29635,8
He,Moby Grape,spotify:track:3qsRKBLgruxzuv9rvGU5RM,0.438,0.18,2,-19.864,1,0.0277,0.814,0.737,0.109,0.286,89.42,214973,4,82.17241,7
Too Late,Larry Williams & Johnny Watson,spotify:track:7GJToaJM2uKpXfOMxN6z76,0.539,0.712,5,-10.43,0,0.043,0.565,0,0.0862,0.929,148.622,143120,4,34.53049,7
Smell of Incense,The West Coast Pop Art Experimental Band,spotify:track:2SsMpbiZJi3twzorpStsRe,0.571,0.724,9,-12.827,1,0.0309,0.0466,0.00416,0.0454,0.608,120.108,351933,4,65.21772,12
Old Man Willow,Elephants Memory,spotify:track:4t5E5gutiMy7kv5Il5HlXI,0.179,0.538,11,-9.961,1,0.0434,0.619,0.000714,0.147,0.254,181.168,425093,3,28.15678,16
It's Only a Reflection,The Weeds,spotify:track:3FR6q9HAEztbZv3HGGUtfO,0.522,0.487,0,-9.829,0,0.0308,0.4,0.0179,0.0725,0.517,98.93,188160,4,33.29376,10
You Don't Love Me,Kaleidoscope,spotify:track:16hyZTi4gssjHKkCDMTcvd,0.473,0.707,4,-8.578,0,0.0283,0.0249,0.0479,0.0985,0.811,133.364,239813,3,42.82544,10
See See Rider,Ernestine Anderson,spotify:track:2qPAOyLXYNBRVfKw8KE9su,0.539,0.421,0,-13.227,1,0.0565,0.65,0,0.296,0.644,132.052,182760,4,35.394,11
We Do Wie Du,The Monks,spotify:track:1YqnVgzk9CEu8iOmcIy5J4,0.777,0.746,2,-8.421,1,0.0469,0.646,0.0002,0.0813,0.813,128.559,131320,4,38.90914,6
Sunday Morning - Mono,The Velvet Underground,spotify:track:1ErakbvzNqDwgjd3cIZfUM,0.507,0.567,5,-9.896,0,0.0265,0.19,0.169,0.0907,0.431,105.534,175160,4,55.36054,6
Luny Tune,Grant Green,spotify:track:4RS5hS8aVPra2mhbK5rUCo,0.555,0.307,5,-16.763,0,0.0446,0.941,0.817,0.111,0.619,95.266,463107,4,83.02897,21
I'm Waiting For The Man - Album Version (Stereo),The Velvet Underground,spotify:track:0zggnUZPh8kg69Jm7w7zZs,0.68,0.632,7,-9.642,1,0.0469,0.027,0.868,0.146,0.863,125.894,279520,4,66.27549,9
Mirage,Tommy James & The Shondells,spotify:track:28DmQwWGctmkziuiuTqFBK,0.671,0.541,9,-10.905,1,0.0442,0.466,2.38e-06,0.0616,0.732,128.583,160387,4,30.38193,9
Rock & Roll Woman,Buffalo Springfield,spotify:track:7C1UUdHEMeJ0XvbG4bw5sw,0.392,0.49,9,-16.976,0,0.108,0.724,0.228,0.354,0.486,146.238,166533,4,31.51014,7
Say Mann,The Jelly Bean Bandits,spotify:track:39mPxLzGQUHhuSxXcbZ9aB,0.45,0.493,9,-11.527,0,0.0261,0.00079,1.47e-06,0.122,0.617,95.311,147027,4,34.4435,6
The Hamptons,Bruce Johnston,spotify:track:6zJbURvXe1QhFMLKHyR864,0.433,0.893,2,-7.825,1,0.0712,0.714,0,0.919,0.45,133.256,135853,4,23.81917,10
Apache,The Shadows,spotify:track:5ALDucFjn5MUCmui2qgTQc,0.595,0.451,9,-12.987,0,0.0288,0.0106,0.929,0.0962,0.779,133.673,174187,4,33.48363,10
The Hedgehog's Song - 2010 Remaster,The Incredible String Band,spotify:track:7IyDLBtIXS2EKZEt8trS03,0.675,0.444,6,-11.795,1,0.0711,0.842,0,0.139,0.65,137.951,207240,4,37.02599,10
The Man That Got Away - Live At Carnegie Hall/1961,Judy Garland,spotify:track:3wylx23g5Ndcn8fQou35OA,0.188,0.255,0,-13.791,1,0.0444,0.816,0,0.772,0.166,182.292,303133,3,41.68506,15
The Quieting Of Oliver Tweak (The Stone Freak),The Leaves,spotify:track:1iGIeJJoivSElwF7tcyny2,0.732,0.257,3,-20.189,1,0.073,0.925,0.499,0.113,0.561,129.734,143373,4,26.76948,7
