Track,Artist,URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorusHit,sections
A Girl Named Property,The Associates,spotify:track:0lqAmPlLFSU7c0stWLfj9z,0.576,0.735,0,-8.111,1,0.0283,0.0488,0.0898,0.0907,0.574,102.327,296360,4,45.95802,15
Kitchen Person,The Associates,spotify:track:3c2jDahQWLeY560DwstEGo,0.433,0.776,0,-4.075,1,0.0413,0.00488,0.804,0.407,0.296,147.626,293267,4,23.39721,14
Q Quarters,The Associates,spotify:track:2c0Qe2YyDvVA6NsFlFmKEE,0.62,0.68,11,-5.833,0,0.085,0.56,0.364,0.202,0.69,114.382,294360,4,33.83849,12
Tell Me Easter's On Friday,The Associates,spotify:track:5zsfmHdpuNpaELuetR8MUA,0.648,0.744,9,-5.624,0,0.0388,0.4,0.000151,0.0606,0.477,105.142,269800,4,80.51212,6
The Associate,The Associates,spotify:track:56ODFvzXyKDBR8GVYAf7fX,0.659,0.939,0,-6.488,1,0.0651,0.0325,0.858,0.546,0.648,120.758,299867,4,48.40657,14
Message Oblique Speech,The Associates,spotify:track:3yN7Lj1LOrpaFUwybMs5oH,0.76,0.869,2,-5.448,1,0.116,0.222,0.000166,0.0782,0.811,118.961,334733,4,25.22886,19
An Even Whiter Car,The Associates,spotify:track:2zRX8K23l6NAIeFJveiCZm,0.535,0.913,0,-7.491,1,0.0429,0.387,0.927,0.257,0.136,92.41,285560,4,52.17516,16
Fearless (It Takes A Full Moon),The Associates,spotify:track:6UB0aSSH8FicQiFN1RbOu1,0.426,0.658,4,-6.127,1,0.0629,0.573,3.78e-06,0.071,0.596,174.194,216040,4,31.97598,14
Point Si,The Associates,spotify:track:56sHgAVB52qVF1WM25xXos,0.464,0.7,9,-4.389,1,0.0469,0.28,0.161,0.0708,0.654,107.062,314693,4,25.43867,15
Straw Towels,The Associates,spotify:track:7b1yLiUVTw1aSiiGb9JOV6,0.451,0.945,0,-3.66,1,0.149,0.0132,0.853,0.879,0.162,164.416,313800,4,36.66589,15
Kissed,The Associates,spotify:track:0xvkjJU5fR3tU9TOdYkqTm,0.668,0.773,2,-6.093,0,0.0439,0.000164,0.805,0.146,0.367,146.021,370867,4,62.06107,11
Blue Soap,The Associates,spotify:track:0lbMWa4CnHDcwEtirTxRWX,0.403,0.152,7,-18.064,1,0.516,0.985,0.863,0.602,0.324,78.353,233973,4,47.47436,9
The Affectionate Punch - 2016 Remaster,The Associates,spotify:track:4DIMZSvm5NJWro5EAI9Rh0,0.681,0.861,2,-5.788,1,0.0337,0.457,0.378,0.311,0.969,132.535,212347,4,24.49738,13
Amused as Always - 2016 Remastered Version,The Associates,spotify:track:25N3wx9BoorznRbtdDDkzn,0.644,0.745,2,-8.227,1,0.0617,0.0701,0.00985,0.293,0.923,162.926,261760,4,26.55839,12
Logan Time - 2016 Remastered Version,The Associates,spotify:track:63R7eXVmzk4rGnDgF9twQR,0.549,0.524,7,-8.472,1,0.031,0.25,0.0113,0.252,0.227,174.794,251800,4,32.56753,12
Paper House - 2016 Remastered Version,The Associates,spotify:track:1LuDcJ0BGtYR1RyrDvXBZI,0.591,0.851,0,-8.291,1,0.0355,0.00836,0.228,0.076,0.728,158.342,296520,3,27.13545,17
Transport to Central - 2016 Remastered Version,The Associates,spotify:track:5cgSq9Zx50sCwMp7pdeedr,0.356,0.409,0,-10.473,1,0.0345,0.04,4.38e-06,0.294,0.124,86.141,309347,4,18.86552,15
A Matter of Gender - 2016 Remastered Version,The Associates,spotify:track:4bhIpGoUlPTYIE76krGg77,0.762,0.699,4,-7.449,0,0.0439,0.0139,0.00161,0.059,0.663,138.486,274280,4,28.12115,14
Even Dogs in the Wild - 2016 Remastered Version,The Associates,spotify:track:0a34tCb2MlMVrAkVlGBY5x,0.73,0.579,4,-7.404,1,0.0482,0.381,0.244,0.109,0.641,112.337,206093,4,50.69519,9
Would I...Bounce Back - 2016 Remastered Version,The Associates,spotify:track:495282D6VNiw9snw15AIPX,0.603,0.812,2,-6.633,1,0.117,0.338,0.000521,0.323,0.815,138.343,242027,4,20.72747,13
Deeply Concerned - 2016 Remastered Version,The Associates,spotify:track:4UcMG8U39Ro1NTpbiAiB0K,0.764,0.429,9,-9.32,0,0.0296,0.269,0.0054,0.176,0.738,91.642,225440,4,40.59645,8
A,The Associates,spotify:track:0KJqmv9ErQIM4J8NPVKBjR,0.619,0.866,2,-6.297,1,0.069,0.13,1.04e-05,0.717,0.951,140.964,235747,4,56.1702,12
Boys Keep Swinging - 2016 Remaster,The Associates,spotify:track:0gs0aSqxuO5SP317G0xF6g,0.743,0.449,9,-10.849,1,0.0763,0.0034,0.193,0.0996,0.946,142.618,223053,4,46.03646,11
Mona Property Girl - 2016 Remastered Version,The Associates,spotify:track:4UwdFgENhISXSCYmRjH8Ur,0.6,0.711,2,-9.38,0,0.0596,0.00405,0.18,0.115,0.646,136.096,206133,4,28.05582,11
Schmoltz - 2016 Remastered Version,The Associates,spotify:track:2UoilD6u2rfXFvzXfdOqU7,0.337,0.92,9,-6.517,1,0.437,0.00293,8.33e-06,0.0566,0.489,177.36,186800,4,43.49739,11
Green for Grief - 2016 Remastered Version,The Associates,spotify:track:3NkKM6pOLPuZ5dNg8vy2QF,0.773,0.768,6,-7.595,0,0.274,0.129,1.13e-05,0.266,0.527,129.572,215533,4,18.13587,11
Geese - 2016 Remastered Version,The Associates,spotify:track:3QprGuuU7c1QUfYgLxp6C1,0.651,0.628,9,-7.547,1,0.05,0.000256,0.27,0.0775,0.971,148.612,125653,4,20.31841,6
Saline Drips - 2016 Remastered Version,The Associates,spotify:track:2baNc8odwlRmNbxZsKe1LP,0.445,0.55,5,-4.825,0,0.0634,0.104,2.77e-06,0.0562,0.641,90.098,203653,4,31.58338,10
Galaxy of Memories - 2016 Remastered Version,The Associates,spotify:track:11xNIJA4snKYc8st81t1q1,0.807,0.195,9,-12.636,1,0.0451,0.742,0.12,0.0595,0.71,107.698,88747,4,27.5786,7
Double Hipness - 2016 Remaster,The Associates,spotify:track:07myC1vs3UChc1CmZH3rD8,0.752,0.762,9,-6.786,1,0.0465,0.161,0.007,0.0655,0.96,140.686,255000,4,21.251,12
Big Waltz (aka Paper House) - 2016 Remastered Version,The Associates,spotify:track:0wE3o0GwPkpPe8ema7lGkH,0.568,0.431,9,-6.962,1,0.0372,1.53e-05,0.691,0.0755,0.727,157.251,168000,3,25.93419,10
Janis (aka Deeply Concerned) - 2016 Remastered Version,The Associates,spotify:track:1YAfWpP8QNDGplmj4cvHFa,0.804,0.35,1,-8.776,1,0.0403,0.666,0.000194,0.11,0.785,93.351,156387,4,43.51646,7
You Were Young - 2016 Remastered Version,The Associates,spotify:track:6zjeql1yeqGVDhqJzESOMt,0.615,0.825,5,-9.061,1,0.0567,0.00141,0.000268,0.254,0.691,146.418,248160,4,22.95037,11
Bounce Back - Remix; 2016 Remastered Version,The Associates,spotify:track:2O3B7uGhJdLL30qnM3tHBj,0.598,0.841,7,-7.993,1,0.0909,0.165,0.00135,0.293,0.44,143.438,231307,4,46.82448,10
A - Remix; 2016 Remastered Version,The Associates,spotify:track:4OtsISkVzrs1MEl2QhZb4w,0.685,0.93,7,-6.615,0,0.105,0.674,0.0011,0.364,0.876,146.118,237267,4,55.12751,10
Amused As Always - Remix; 2016 Remastered Version,The Associates,spotify:track:6u5mNQoz8PIc7E9Jc0GGbC,0.631,0.919,2,-7.074,1,0.0514,0.0904,0.00213,0.375,0.929,163.262,261787,4,54.67051,9
The Affectionate Punch - Remix; 2016 Remaster,The Associates,spotify:track:7fkOXPtNwcZRvazMSROd6H,0.706,0.824,4,-8.175,1,0.0555,0.0724,0.0458,0.139,0.763,131.31,259067,4,36.22315,10
The End - 2016 Remastered Version,The Associates,spotify:track:6ukM9PlVvxFWkSCg7tc7Nc,0.699,0.335,0,-8.3,1,0.035,0.923,0.00283,0.072,0.963,69.733,66067,4,32.45292,4
Genie - Full Length Album Mix,The B. B. & Q. Band,spotify:track:6iikuuZetP2evRHEDnfxhy,0.531,0.709,7,-6.872,1,0.035,0.125,0,0.206,0.96,202.72,364067,4,29.67828,15
Main Attraction - Full Length Album Mix,The B. B. & Q. Band,spotify:track:0EB6oBAJ1bl7vgKtZZpnO5,0.741,0.874,6,-6.39,0,0.0443,0.00871,2.76e-05,0.0568,0.763,112.354,345053,4,68.64323,15
Won't You be With Me Tonight - Full Length Album Mix,The B. B. & Q. Band,spotify:track:1Fbsj4rpEQQRujtm7goENG,0.892,0.701,11,-7.262,0,0.0678,0.129,0.000543,0.0399,0.824,118.057,274827,4,22.65173,11
Don't Force It - Full Length Album Mix,The B. B. & Q. Band,spotify:track:3SmFR63NrY9LZpvAtEKlIW,0.719,0.885,1,-7.086,1,0.0562,0.0363,0.0714,0.325,0.75,115.337,295427,4,61.57599,11
Minutes Away - Full Length Album Mix,The B. B. & Q. Band,spotify:track:0c1C6zgaBc4NhmOAjWZYQu,0.582,0.666,0,-6.648,1,0.0291,0.517,0,0.179,0.613,75.684,196667,4,90.71411,6
On The Shelf - Full Length Album Mix,The B. B. & Q. Band,spotify:track:4DB54xL7UBJAI47cVgCYPy,0.84,0.839,11,-7.41,0,0.0485,0.1,0.0244,0.137,0.885,115.228,316973,4,20.09381,13
Dreamer - Full Length Album Mix,The B. B. & Q. Band,spotify:track:08o5pIVIy0w02n3ujVhuJo,0.867,0.685,3,-6.593,0,0.0521,0.0823,0.0274,0.0417,0.975,109.491,347800,4,26.62776,17
Riccochet - Full Length Album Mix,The B. B. & Q. Band,spotify:track:6rtLtHASwUwReXexXdEbPe,0.799,0.778,1,-8.009,1,0.0692,0.00719,0.00124,0.034,0.961,115.818,252387,4,18.46417,11
88 Break Out Mega Mix,The B. B. & Q. Band,spotify:track:2qPGKUKWUiiNwQTHZJKgEC,0.475,0.88,7,-7.516,1,0.0667,0.0573,0.0345,0.092,0.626,112.246,551920,4,43.05155,22
Dreamer - SHEP PETTIBONE LONG VOCAL VERSION,The B. B. & Q. Band,spotify:track:30SVeijE8KS8LVcJhPLFHz,0.792,0.754,1,-8.42,1,0.0711,0.00521,0.000468,0.0896,0.946,109.026,432440,4,43.25911,15
Dreamer - N° 1 Remix,The B. B. & Q. Band,spotify:track:1E0FehkMoLLWTPgwWlImch,0.775,0.882,1,-8.219,1,0.0448,0.117,0.0312,0.0983,0.96,108.833,375787,4,41.6609,19
Main Attraction - The Finest Remix,The B. B. & Q. Band,spotify:track:65hExIa6AQ3iRPUN4kNxBk,0.684,0.873,1,-7.311,0,0.0656,0.00944,0.107,0.0302,0.928,110.729,400253,4,34.9974,18
Dreamer - Shep Pettibone Short Vocal Version,The B. B. & Q. Band,spotify:track:3MWBGTOUOBmfRx2L6i1bUv,0.797,0.705,1,-7.86,1,0.063,0.0427,0.000145,0.0627,0.901,108.993,235960,4,84.95943,9
Riccochet (Ben Leibrand Mix) - Ben Leibrand Mix,The B. B. & Q. Band,spotify:track:3rrjpijO9LFcu5OFZbWhpI,0.802,0.635,1,-9.304,1,0.0715,0.00419,0.0629,0.0748,0.97,117.229,358227,4,28.98476,16
Dreamer - Shep's Dream Version,The B. B. & Q. Band,spotify:track:25uhtGd21AKkO6rX3ArPbH,0.764,0.734,1,-7.593,1,0.0503,0.0419,6.49e-05,0.112,0.887,109.056,368613,4,36.59415,14
Genie - Edit Mix,The B. B. & Q. Band,spotify:track:5kSsPoKr8b2slo9gjIuyeK,0.536,0.68,4,-7.65,0,0.0334,0.174,0,0.234,0.951,202.653,224702,4,32.64968,11
Minutes Away - Long Version,The B. B. & Q. Band,spotify:track:2ClFtWf4ox7wygShkpp66r,0.519,0.6,0,-9.893,1,0.0289,0.669,2.48e-05,0.311,0.487,75.577,310680,4,55.94262,11
Keep It Hot - Full Length Album Mix,The B. B. & Q. Band,spotify:track:2akb2vAdfNKNBz1J8qG7Ks,0.855,0.717,10,-8.89,0,0.0499,0.0453,0.000976,0.0728,0.964,134.771,340840,4,51.92649,14
