What Do You Want from Me,Pink Floyd,spotify:track:3Tsh9pjiJ5cvmuiZALdgVz,0.515,0.565,4,-9.547,1,0.0304,0.113,1.35e-05,0.122,0.374,104.378,261587,4,92.90961,11
Longview,Green Day,spotify:track:3LRJbFT9rKoKv4aW7PuBJC,0.381,0.732,10,-7.594,0,0.0536,0.00834,0.0101,0.0854,0.814,142.504,233240,4,47.39845,10
Hire a Bird,Think Tree,spotify:track:7kgRIrGaIYIqF7zo5TSbo4,0.699,0.703,10,-12.48,1,0.147,0.104,0,0.507,0.565,86.855,282667,4,17.8173,17
Fuzzy,Grant Lee Buffalo,spotify:track:0cJ6ZvI6O9bYWgCV7rhL8N,0.488,0.416,5,-9.25,0,0.0277,0.045,0,0.185,0.0748,82.387,292573,4,70.90952,10
If I Can't Change Your Mind,Sugar,spotify:track:0b4Vn9aOGowJ3xr4SII7n6,0.357,0.992,5,-3.663,1,0.0555,0.123,0.0128,0.14,0.77,160.916,198933,4,30.56219,7
Never Let You Go - 2008 Version,Third Eye Blind,spotify:track:1sxUaLi0G2vB7dl4ogtCxH,0.728,0.94,4,-5.034,1,0.0368,0.0814,0.000162,0.109,0.967,113.76,237240,4,42.92495,11
Bullet Proof Cupid,Girls Against Boys,spotify:track:6sGl7RxpLz4xkm1Qim4QhU,0.351,0.928,2,-9.005,1,0.0757,0.00572,0.692,0.389,0.0887,138.302,290933,4,41.84376,11
Jerry Was A Race Car Driver,Primus,spotify:track:6eksnQsyuCDmSEd9LyXLgA,0.508,0.887,1,-12.377,0,0.0661,0.0099,0.392,0.345,0.724,122.655,190840,4,30.63422,10
Aeroplane - Dance Mix,The Psychedelic Furs,spotify:track:2BuRG2KyF35L3GghCkF6Hh,0.555,0.864,0,-8.459,0,0.134,0.00354,0.838,0.311,0.289,128.204,318133,4,45.50737,12
Bleach,Lowlife,spotify:track:0A0aPvahsJpOOQY4miqEzX,0.55,0.654,7,-12.636,1,0.0416,0.559,0.493,0.568,0.412,119.974,312773,4,67.04695,12
You Left The Water Running,Barbara Lynn,spotify:track:1ZTilWW9oKM0ej3kU5QAHc,0.565,0.454,9,-13.278,0,0.143,0.139,9.03e-06,0.0934,0.774,131.293,130360,4,23.44608,6
New World Order,Megadeth,spotify:track:0MMl1QV0ITcQ7XvHWWXZWm,0.277,0.947,4,-8.893,0,0.175,0.000322,0.345,0.328,0.332,143.654,229280,1,51.67039,11
Number Nine Train,Dale Hawkins,spotify:track:548dJdsaH4JKHdYlIsDAT9,0.698,0.731,4,-12.011,1,0.0407,0.763,0.00269,0.0553,0.935,118.177,143600,4,32.87086,7
The Popcorn,James Brown,spotify:track:4XPuSSXSwvdK079ZFf5HVs,0.78,0.733,8,-10.828,1,0.0533,0.128,0.71,0.0684,0.809,120.021,181853,4,61.22841,9
Stoned,Smash Mouth,spotify:track:7bFstEkOysInloEcaHzMUM,0.611,0.811,11,-6.138,1,0.0363,0.0303,1.32e-05,0.103,0.61,167.513,248293,4,41.10716,11
In The Days Of The Caveman,Crash Test Dummies,spotify:track:5PPFqY21IYzuucFit2kvVr,0.655,0.85,11,-7.695,1,0.0317,0.079,0.000864,0.329,0.642,122.95,220493,4,112.59126,4
Make It Easy On Yourself,Jerry Butler,spotify:track:5UbSYeJarMmWHuRcRCdaRm,0.382,0.336,6,-12.196,0,0.0313,0.85,7.2e-06,0.183,0.294,83.584,165740,4,42.62599,9
Self Esteem,The Offspring,spotify:track:6qpN7PrkVsP3N3xO7WlCaw,0.488,0.862,0,-7.595,1,0.0476,0.0204,0,0.359,0.706,104.56,257827,4,45.81414,10
