Sh-Boom - Single Version,The Chords,spotify:track:65q2B21oEbjSPrPHQb0MT8
"It Must Have Been Love - From the Film ""Pretty Woman""",Roxette,spotify:track:6qB7YcFpeBEQa0D6QO482y
Three Days,Jane's Addiction,spotify:track:13EpmgPUF4KL4TlXOGqUPD
Bloos,Duke Pearson,spotify:track:2O8VN52UuscIUUgfcuInDf
Scraping,Hot Water Music,spotify:track:4EA5eZVH9czdIszHSf5mit
Do You Love Me,The Contours,spotify:track:41FRsZNXpsBkJ46BxyC20m
Blasphemous Cremation,Incantation,spotify:track:6W5acYDSA5ewskna9UNBxD
Two Dozen Roses,Shenandoah,spotify:track:0e05wFNr6zg1ULcp4NKs1p
Tribute (Right On) - The Screaming Cat Mix,The Pasadenas,spotify:track:4P4nLeqSYo8qiF2NpXU2e0
The Lovers,Think Tree,spotify:track:1sCm3qXcDJl1kcC3mIlCYP
10 Days Late - 2008 Version,Third Eye Blind,spotify:track:5XD4ta5JSf6CNmDPfTYZeG
In-A-Gadda-Da-Vida - Single Version,Iron Butterfly,spotify:track:41TqRBgF4Ahyr4vGmZVk8b
Coming On Strong,Brenda Lee,spotify:track:3IVYAkuJ62oqVCy17YMGuX
Little Girl of Mine,The Cleftones,spotify:track:6YI7hHSjotVuw7czjRNCBN
Calendar Girl,Neil Sedaka,spotify:track:12zaaVrgaiGm67I8F5ALp9
Anemone,The Brian Jonestown Massacre,spotify:track:5KaCn0CGbo2Mynq5VSgSya
True Love Ways,Buddy Holly,spotify:track:6VCmZG9Vr4zEu4LvZhXPDg
Chloe Dancer/Crown Of Thorns,Mother Love Bone,spotify:track:7rBMZvgeWnOTHWUh3Pvw51
Settle Down,Wax,spotify:track:3Fh2TmMHbHhNPGlQByMpge
Sweet Nothin's - Single Version,Brenda Lee,spotify:track:4vsXBH9u5EH3lRycXHOcII
Wargasm,L7,spotify:track:7b1snQi3wWfUPmRrPvK0ny
Purple Peanuts,the beachcombers,spotify:track:6WAacEHifKwnmRWqZYYjCN
Make It Me,The Premiers,spotify:track:3E6nUlGPR0ycqttOCUUOkN
Ezz-Thetic,Grant Green,spotify:track:0vNy3xhKPSrErUh3eSCtBA
"Promises, Promises",Naked Eyes,spotify:track:3kcikn08ZWSgRvvXT6yeKY
Blue Moon Rising,Gomez,spotify:track:1eN9PyijULNGfgNeyE4kvb
Too Bad,The Bad Roads,spotify:track:2D3EyUGYsdvV7mcREEc5J7
Peggy Sue - Single Version,Buddy Holly,spotify:track:3iJWxZYv5FNcfGcOdgbq2P
Summer of Love - Summer Party Mix,The B-52's,spotify:track:3g3Rw6U8MMlKTMpYcfIUcZ
The Odd Couple,Billy May & His Orchestra,spotify:track:09mhTDBTeHQIR7K305ciC6
