Queen Of My Heart,Rene And Ray
When You Loved Me,Brenda Lee
Shadows Of Love,LaVern Baker
Baby Get It (And Don't Quit It),Jackie Wilson
The Ballad Of The Green Berets,SSgt Barry Sadler
U.S. Male,Elvis Presley With The Jordanaires
"Yes, I'm Lonesome Tonight",Thelma Carpenter
She Lets Her Hair Down (Early In The Morning),The Tokens
It's Not Easy,The Will-O-Bees
Still,The Sunrays
Switch It On,Cliff Nobles & Co.
Quicksand,Martha & The Vandellas
Anna,Jorgen Ingmann & His Guitar
Oh Lonesome Me,Johnny Cash With The Gene Lowery Singers
How Do You Catch A Girl,Sam The Sham and the Pharaohs
Come Together/Something,The Beatles
Dream Lover,The Paris Sisters
"Workout Stevie, Workout",Little Stevie Wonder
Ain't It True,Andy Williams
Ja-Da,Johnny And The Hurricanes
(Let's Do) The Hully Gully Twist,Bill Doggett
Everybody Loves A Clown,Gary Lewis And The Playboys
Keep A Light In The Window Till I Come Home,Solomon Burke
Whole Lotta Shakin' Goin' On,Chubby Checker
The Guns Of Navarone,Joe Reisman Orch. & Chorus
"Hey Jean, Hey Dean",Dean And Jean
Goin' Out Of My Head,Little Anthony And The Imperials
I'll Remember (In The Still Of The Night),Santo & Johnny
River Deep-Mountain High,Ike & Tina Turner Featuring Tina
Cherry Berry Wine,Charlie Mccoy
D. W. Washburn,The Monkees
Black Nights,Lowell Fulsom
Long Gone Lonesome Blues,Hank Williams Jr.
Lazy Day,Spanky And Our Gang
It's Too Late,Bobby Goldsboro
Hobo Flats - Part I,Jimmy Smith
She's Everything (I Wanted You To Be),Ral Donner
Simon Says,1910 Fruitgum Co.
Chapel By The Sea,Billy Vaughn And His Orchestra
Live Wire,Martha & The Vandellas
Don't Give In To Him,Gary Puckett And The Union Gap
I'm The One,Gerry And The Pacemakers
Ring Dang Doo,Sam The Sham and the Pharaohs
Puffin' On Down The Track,Hugh Masekela
Have You Heard,The Duprees featuring Joey Vann
Groovy Summertime,The Love Generation
Kissin' Cousins,Elvis Presley With The Jordanaires
Lady Bird,Nancy Sinatra & Lee Hazlewood
Misery,The Dynamics
Groovy Tonight,Bobby Rydell
"Mercy, Mercy",Don Covay & The Goodtimers
This Diamond Ring,Gary Lewis And The Playboys
I Guess The Lord Must Be In New York City,Nilsson
A Little Bit Of Soap,The Exciters
Black Pearl,"Sonny Charles And The Checkmates, Ltd."
Chinese Checkers,Booker T. & The MG's
Baby I Do Love You,The Galens
There's Always Me,Elvis Presley With The Jordanaires
Do You Mind?,Andy Williams
"The Wreck Of The ""John B""",Jimmie Rodgers
Maybe Just Today,Bobby Vee And The Strangers
Flamingo Express,The Royaltones
Glory Of Love,Don Gardner And Dee Dee Ford
Birthday,Underground Sunshine
A Little Bit Now,The Dave Clark Five
Got You On My Mind,Cookie And His Cupcakes
Shout! - Part 1,Chambers Brothers
Three O'Clock In The Morning,Bert Kaempfert And His Orchestra
Peek-A-Boo,The New Vaudeville Band
Take Me In Your Arms And Love Me,Gladys Knight And The Pips
You Don't Love Me Anymore (And I Can Tell),Rick Nelson
Baby Make Your Own Sweet Music,Jay And The Techniques
Baby You Come Rollin' Across My Mind,The Peppermint Trolley Company
Please Don't Talk To The Lifeguard,Diane Ray
Follow Me,Lyme & Cybelle
Walk Like A Man,The 4 Seasons
Tracy,The Cuff Links
Riders In The Sky,Lawrence Welk His Orchestra And Chorus
Love Me With All Your Heart (Cuando Calienta El Sol),The Ray Charles Singers
When He Touches Me (Nothing Else Matters),Peaches & Herb
Marble Breaks And Iron Bends,Drafi
Make Someone Happy,Perry Como
Cinderella Sunshine,Paul Revere & The Raiders Featuring Mark Lindsay
It Hurts To Be Sixteen,Andrea Carroll
A Thousand Miles Away,The Heartbeats
Change Of Heart,Dennis Yost And The Classics IV
How Do You Do It?,Gerry And The Pacemakers
Who's Been Sleeping In My Bed?,Linda Scott
It's All Because,Linda Scott
Mo-Onions,Booker T. & The MG's
Don't Be Cruel,Bill Black's Combo
I Can't Take It,Mary Ann Fisher
Slim Jenkin's Place,Booker T. & The MG's
Something Happened,Paul Anka
The Bird Man,The Highwaymen
Down The Street To 301,Johnny Cash And The Tennessee Two
Yakety Sax,Boots Randolph and his Combo
A Little You,Freddie And The Dreamers
First Name Initial,Annette With The Afterbeats
The Stripper,David Rose and His Orchestra
Sam's Song,Dean Martin & Sammy Davis Jr.
Spreadin' Honey,The Watts 103rd Street Rhythm Band
The Sweeter He Is - Part I,The Soul Children
Sometimes You Gotta Cry A Little,Bobby Bland
Shout - Part 1,The Isley Brothers
Fire,Five By Five
Blessed Is The Rain,The Brooklyn Bridge Featuring Johnny Maestro
Number One Man,Bruce Channel
Don't Be A Drop-Out,James Brown And The Famous Flames
"Puddin N' Tain (Ask Me Again, I'll Tell You The Same)",The Alley Cats
A Man Without Love (Quando M'innamoro),Engelbert Humperdinck
Thanks A Lot,Brenda Lee
Young Girl,The Union Gap Featuring Gary Puckett
Green Light,The American Breed
You'd Better Come Home,Russell Byrd
Don't Worry 'Bout Me,Vincent Edwards
Alone With You,Brenda Lee
Soul Heaven,The Dixie Drifter
The Nitty Gritty,Gladys Knight And The Pips
A Question Of Temperature,The Balloon Farm
Missing You,Ray Peterson
Didn't You Know (You'd Have To Cry Sometime),Gladys Knight And The Pips
The Charanga,Merv Griffin
Peanuts,Rick And The Keens
I Don't Know Why,Linda Scott
With Pen In Hand,Billy Vera
Itsy Bitsy Teenie Weenie Yellow Polkadot Bikini,Brian Hyland
(Do The) Mashed Potatoes (Part 1),Nat Kendrick And The Swans
Crying In The Chapel,Elvis Presley With The Jordanaires
I Really Don't Want To Know,Little Esther Phillips
What You Gave Me,Marvin Gaye & Tammi Terrell
Dedicated (To The Songs I Love),The 3 Friends
What'd I Say,Elvis Presley With The Jubilee Four And Carole Lombard Quartet
The Sun Ain't Gonna Shine (Anymore),The Walker Bros.
Mister Bo Jangles,Bobby Cole
Say It Loud - I'm Black And I'm Proud (Part 1),James Brown
When The Boys Get Together,Joanie Sommers
Question,Lloyd Price and His Orchestra
It's A Man's Man's Man's World,James Brown And The Famous Flames
Indian Giver,1910 Fruitgum Co.
I Don't Mind,James Brown And The Famous Flames
Hey Hey Bunny,John Fred And The Playboys
Rainbow At Midnight,Jimmie Rodgers
Please Don't Sell My Daddy No More Wine,The Greenwoods
Alice's Rock & Roll Restaurant,Arlo Guthrie
The Barracuda,Alvin Cash & The Crawlers
Teen-Ex,The Browns Featuring Jim Edward Brown
Rockin' In The Same Old Boat,Bobby Bland
Your Cheating Heart,Ray Charles
Without Love (There Is Nothing),Ray Charles
Teensville,Chet Atkins
It's Gonna Take A Miracle,The Royalettes
Baby You're So Right For Me,Brenda & The Tabulations
Think Of Me,Buck Owens and The Buckaroos
Cotton Fields,The Highwaymen
I Wonder What She's Doing Tonite,Tommy Boyce & Bobby Hart
Me About You,The Mojo Men
The Old Oaken Bucket,Tommy Sands
Girls Are Out To Get You,The Fascinations
And That Reminds Me (My Heart Reminds Me),The 4 Seasons
Lawdy Miss Clawdy,Gary Stites
(I Love You) Don't You Forget It,Perry Como
Sweet And Lovely,April Stevens & Nino Tempo
"Too Pooped To Pop (""Casey"")",Chuck Berry
Not The Lovin' Kind,"Dino, Desi & Billy"
Ain't That A Shame!,The 4 Seasons
The Continental Walk,Hank Ballard And The Midnighters
What's The Matter With You Baby,Marvin Gaye & Mary Wells
It's Now Or Never,Elvis Presley With The Jordanaires
Smoky Places,"The Corsairs Featuring Jay ""Bird"" Uzzell"
Dominique,The Singing Nun (Soeur Sourire)
I'll Be There,Damita Jo
I Want To Talk About You,Ray Charles
For What It's Worth,King Curtis & The Kingpins
Cold Turkey,Plastic Ono Band
She's About A Mover,Otis Clay
Gonna' Get Along Without You Now,Tracey Dey
Seesaw,Don Covay & The Goodtimers
My Memories Of You,Donnie and The Dreamers
Devil With A Blue Dress On & Good Golly Miss Molly,Mitch Ryder And The Detroit Wheels
One Broken Heart For Sale,Elvis Presley With The Mello Men
Alone,The 4 Seasons
Let's Get Together,We Five
It Started All Over Again,Brenda Lee
Settle Down (Goin' Down That Highway),"Peter, Paul & Mary"
I Can't Stand Myself (When You Touch Me),James Brown And The Famous Flames
The White Rose Of Athens,David Carroll And His Orchestra
Ridin' The Wind,The Tornadoes
A Lover's Question,Ernestine Anderson
Moments,Jennell Hawkins
Wild Weekend,The Rebels
Judy Loves Me,Johnny Crawford
Princess,Frank Gari
Stay Away,Elvis Presley With The Jordanaires
Come September,Billy Vaughn And His Orchestra
Come On Down To My Boat,Every Mothers' Son
I Will Always Think About You,The New Colony Six
Happy,The Sunshine Company
"Oh, Pretty Woman",Roy Orbison And The Candy Men
A Stranger In Your Town,The Shacklefords
Sticks And Stones,Ray Charles and his Orchestra
Till Death Do Us Part,Bob Braun
Maybe The Rain Will Fall,The Cascades
Land Of A Thousand Dances (Part I),Thee Midniters
The Girl's A Devil,The Dukays
Goldfinger,Jack Laforge His Piano and Orchestra
"Shimmy, Shimmy Walk, Part 1",The Megatons
When The Ship Comes In,"Peter, Paul & Mary"
Beautiful People,Bobby Vee And The Strangers
If I Could Build My Whole World Around You,Marvin Gaye & Tammi Terrell
Tired Of Being Lonely,Sharpees
Let's Try Again,Clyde McPhatter
She Drives Me Out Of My Mind,The Swingin' Medallions
You'll Answer To Me,Patti Page
Just As Much As Ever,Bob Beckham
Days Of Wine And Roses,Henry Mancini And His Orchestra
Rudolph The Red Nosed Reindeer,David Seville And The Chipmunks
America Is My Home - Pt. 1,James Brown And The Famous Flames
Little Boxes,The Womenfolk
Mediterranean Moon,The Rays
To Share Your Love,Fantastic Four
Midnite Special,Paul Evans
Sunday Will Never Be The Same,Spanky And Our Gang
Two Different Worlds,Lenny Welch
Mama Sang A Song,Walter Brennan
Call On Me,Bobby Bland
Concrete And Clay,Unit Four plus Two
I Wanna Be With You,Nancy Wilson
Just Tell Her Jim Said Hello,Elvis Presley With The Jordanaires
Down On The Corner/Fortunate Son,Creedence Clearwater Revival
Down The Aisle (Wedding Song),Patti LaBelle And The Blue Belles
There Is No Greater Love,The Wanderers
"(Theme from) ""The Dark At The Top Of The Stairs""",Ernie Freeman
Martian Hop,The Ran-Dells
He's A Lover,Mary Wells
Please Say You're Fooling,Ray Charles and his Orchestra
There's A Star Spangled Banner Waving #2 (The Ballad Of Francis Powers),Red River Dave
All My Trials,Dick and DeeDee
Cherry Pie,Skip And Flip
Alfie,Eivets Rednow
Hurt So Bad,Little Anthony And The Imperials
My Pledge Of Love,The Joe Jeffrey Group
I'm Over You,Jan Bradley
"Someone Loves You, Joe",The Singing Belles
Money Won't Change You (Part 1),James Brown And The Famous Flames
Once In Awhile,The Chimes
Expecting To Fly,The Buffalo Springfield
Treat Her Right,Roy Head And The Traits
Blistered/See Ruby Fall,Johnny Cash
Bluebird,The Buffalo Springfield
"The Sidewinder, Part 1",Lee Morgan
Love For Sale,Arthur Lyman Group
Baby I'm Lonely,The Intruders
That's Your Baby,Joe Tex
Love Is Blue (L'amour Est Bleu),Paul Mauriat And His Orchestra
She'll Never Know,Brenda Lee
Save All Your Lovin' For Me,Brenda Lee
Let's Work Together (Part 1),Wilbert Harrison
Flaming Star,Elvis Presley With The Jordanaires
Dear John,Pat Boone
Till You Get Enough,The Watts 103rd Street Rhythm Band
Peg O' My Heart,Robert Maxwell His Harp And Orchestra
Keep Your Hands In Your Pockets,The Playmates
Spring Rain,Pat Boone
Constant Rain (Chove Chuva),Sergio Mendes & Brasil '66
Don't You Worry,Don Gardner And Dee Dee Ford
Angel Baby,Rosie And The Originals
I Shot Mr. Lee,The Bobbettes
Alley Cat,Bent Fabric and His Piano
In The Mood,Ernie Fields & Orch.
Do Something To Me,Tommy James And The Shondells
I Still Believe In Tomorrow,John & Anne Ryder
A Million To One,Jimmy Charles and The Revelletts
(She's) Some Kind Of Wonderful,The Fantastic Johnny C
May I Take A Giant Step (Into Your Heart),1910 Fruitgum Co.
Back Door Man,Derek
A Taste Of Honey,Martin Denny and His Orchestra
What A Surprise,Johnny Maestro The Voice Of The Crests
"Goodnight, Irene",Jerry Reed And The Hully Girlies
Happy Shades Of Blue,Freddie Cannon
Candy Girl,The 4 Seasons
Goldfinger,John Barry and His Orchestra
Every Beat Of My Heart,Pips
I Make A Fool Of Myself,Frankie Valli
Easier Said Than Done,The Essex
I Can Hear Music,The Ronettes Featuring Veronica
Bring It Up,James Brown And The Famous Flames
Stag-O-Lee,Wilson Pickett
Michael,The Highwaymen
"Southtown, U.S.A.",The Dixiebelles
La Dolce Vita (The Sweet Life),Ray Ellis And His Orchestra
Ruby Duby Du From Key Witness,Charles Wolcott
Don't Let Me Cross Over,Carl Butler & Pearl
My Elusive Dreams,David Houston & Tammy Wynette
"Wake Up, Wake Up",The Grass Roots
Let's Go Again (Where We Went Last Night),Hank Ballard And The Midnighters
Explosion (In Your Soul),Soul Survivors
Along Comes Mary,Baja Marimba Band
You Are My Sunshine,Johnny And The Hurricanes
(We Ain't Got) Nothin' Yet,Blues Magoos
Jeremiah Peabody's Poly Unsaturated Quick Dissolving Fast Acting Pleasant T,Ray Stevens
Come See About Me,Nella Dodds
Shout - Part I,Joey Dee & the Starliters
Double Shot (Of My Baby's Love),Swingin' Medallions
Viva Las Vegas,Elvis Presley With The Jordanaires
It's A Lonely Town (Lonely Without You),Gene McDaniels
I've Told Every Little Star,Linda Scott
I've Got You Under My Skin,"The 4 Seasons Featuring the ""Sound of Frankie Valli"""
(1-2-3-4-5-6-7) Count The Days,Inez & Charlie Foxx
Poor Little Rich Girl,Steve Lawrence
I Still Get Jealous,Louis Armstrong And The All Stars
Hello Young Lovers,Paul Anka
Let's Get Together,Hayley Mills and Hayley Mills
You'll Never Walk Alone,Patti LaBelle And The Blue Belles
Mame,Bobby Darin
Puppet On A String,Elvis Presley With The Jordanaires
You'll Never Walk Alone,Gerry And The Pacemakers
Apple Green,June Valli
Ain't No Mountain High Enough,Marvin Gaye & Tammi Terrell
Working My Way Back To You,"The 4 Seasons Featuring the ""Sound of Frankie Valli"""
Main Theme from Exodus (Ari's Theme),Mantovani & His Orch.
Smack Dab In The Middle,Ray Charles and his Orchestra
I'm A Nut,Leroy Pullins
Wild One,Martha & The Vandellas
This Old Heart,James Brown And The Famous Flames
Them That Got,Ray Charles and his Orchestra
"I Guess I'll Have To Cry, Cry, Cry",James Brown And The Famous Flames
Wizard Of Love,The Ly - Dells
The Sins Of A Family,P.F. Sloan
Precious Memories,The Romeos
You Talk Too Much,Frankie Ford
That Kind Of Woman,Merrilee Rush & The Turnabouts
In Another Land,Bill Wyman
Love Can't Wait,Marty Robbins
(Theme From) Silver City,The Ventures
To Each His Own,Frankie Laine
Oh Happy Day,The Edwin Hawkins' Singers Featuring Dorothy Combs Morrison
Soul Drippin',The Mauds
Not Too Long Ago,The Uniques Featuring Joe Stampley
Somethin' Stupid,Nancy Sinatra & Frank Sinatra
Busted,Ray Charles and his Orchestra
Big Bruce,Steve Greenberg
Love Bug Leave My Heart Alone,Martha & The Vandellas
Oh Yeah!,The Joe Cuba Sextet
Let Me In,The Sensations
Do Anything You Wanna (Part I),Harold Betters
The Ballad Of Irving,Frank Gallop
Are You Lonesome To-night?,Elvis Presley With The Jordanaires
Father Sebastian,The Ramblers
The Graduation Song... Pomp And Circumstance,Adrian Kimberly
Like A Child,Julie Rogers
"Hide & Go Seek, Part I",Bunker Hill
Dandy,Herman's Hermits
Ode To Billie Joe,The Kingpins
The Hair On My Chinny Chin Chin,Sam The Sham and the Pharaohs
Seventeen,Frankie Ford
Good Luck Charm,Elvis Presley With The Jordanaires
The Alley Cat Song,David Thorne
Don't Think Twice,The Wonder Who?
Vanishing Point,The Marketts
"From The Bottom Of My Heart (Dammi, Dammi, Dammi)",Dean Martin
I Fought The Law,Bobby Fuller Four
What To Do With Laurie,Mike Clifford
A Cross Stands Alone,Jimmy Witter
Kansas City,James Brown And The Famous Flames
Deadend Street,The Kinks
Spread It On Thick,The Gentrys
Truck Stop,Jerry Smith and his Pianos
The Madison Time - Part I,Ray Bryant Combo
Lisa,Jeanne Black
I'm A Fool To Care,Joe Barry
Come And Get These Memories,Martha & The Vandellas
Apples And Bananas,Lawrence Welk And His Orchestra
I Don't Need No Doctor,Ray Charles and his Orchestra
Fingertips - Pt 2,Little Stevie Wonder
Jill,Gary Lewis And The Playboys
Tell Someone You Love Them,"Dino, Desi & Billy"
Carol,Tommy Roe
Whole Lot Of Shakin' Going On,Conway Twitty
The Little Drummer Boy,The Harry Simeone Chorale
My Coloring Book,Kitty Kallen
Wonderland By Night,Bert Kaempfert And His Orchestra
It's Just A Little Bit Too Late,Wayne Fontana & The Mindbenders
Hit The Road Jack,Ray Charles and his Orchestra
Soul Meeting,The Soul Clan
Love Power,The Sandpebbles
Let's Stomp,Bobby Comstock
Walking The Floor Over You,Pat Boone
Are You Still My Baby,The Shirelles
Skate Now,Lou Courtney
Don't Change Your Love,Five Stairsteps & Cubie
Blue Velvet,The Statues
Lovers Always Forgive,Gladys Knight And The Pips
Not Too Young To Get Married,Bob B. Soxx And The Blue Jeans
Kookie Little Paradise,The Tree Swingers
Your Precious Love,Marvin Gaye & Tammi Terrell
My Heart's Symphony,Gary Lewis And The Playboys
It's Over,Jimmie Rodgers
(The Clickity Clack Song) Four Little Heels,Brian Hyland
Trains And Boats And Planes,Billy J. Kramer With The Dakotas
Jesse Brady,The McCoys
One By One,Blues Magoos
Shangri-La,Robert Maxwell His Harp And Orchestra
Israelites,Desmond Dekker And The Aces
Beggin',"The 4 Seasons Featuring the ""Sound of Frankie Valli"""
Yesterday's Gone,Chad & Jeremy
Something You Got,Chuck Jackson & Maxine Brown
"Never, Never Leave Me",Mary Wells
I Wish It Would Rain,Gladys Knight And The Pips
These Hands (Small But Mighty),Bobby Bland
Kissin' And Twistin',Fabian
Travlin' Man,Stevie Wonder
Sugar Lips,Al (He's the King) Hirt
Fancy Pants,Al (He's the King) Hirt
Good Thing,Paul Revere & The Raiders Featuring Mark Lindsay
Roses Are Red My Love,"The ""You Know Who"" Group!"
Sockin' 1-2-3-4,John Roberts
I Ain't Got To Love Nobody Else,The Masqueraders
Money (That's What I Want) (Part 1),Jr. Walker & The All Stars
Giving Up,Gladys Knight And The Pips
Don't Let The Sun Catch You Crying,Gerry And The Pacemakers
Be My Baby,Dick and DeeDee
Seein' The Right Love Go Wrong,Jack Jones
Didn't We,Richard Harris
Wack Wack,The Young Holt Trio
Marlena,The 4 Seasons
You Turn Me On (Turn On Song),Ian Whitcomb And Bluesville
Last Kiss,J. Frank Wilson and The Cavaliers
Gonna Raise A Rukus Tonight,Jimmy Dean
Everlovin',Rick Nelson
A Little Bit Now (A Little Bit Later),The Majors
I Like It,Gerry And The Pacemakers
Tonight I'll Say A Prayer,Eydie Gorme
Book Of Love,The Raindrops
Barbara,The Temptations
Ain't That A Groove (Part 1),James Brown And The Famous Flames
When The Good Sun Shines,Elmo & Almo
Good Lovin' Ain't Easy To Come By,Marvin Gaye & Tammi Terrell
East West,Herman's Hermits
Zazueira (Za-zoo-wher-a),Herb Alpert & The Tijuana Brass
The Dis-Advantages Of You,The Brass Ring featuring Phil Bodner
Heat Wave,Martha & The Vandellas
Purple Haze,The Jimi Hendrix Experience
I'm A Happy Man,The Jive Five
The Thought Of Loving You,The Crystal Mansion
Sincerely,The 4 Seasons
My Baby Don't Dig Me,Ray Charles and his Orchestra
Cherié,Bobby Rydell
Don't Cry Daddy/Rubberneckin',Elvis Presley
Do The Thing,Lou Courtney
Strawberry Shortcake,Jay And The Techniques
Don't Blame The Children,Sammy Davis Jr.
It Ain't No Big Thing,Radiants
Spring,Birdlegs & Pauline And Their Versatility Birds
Let's Go Get Stoned,Ray Charles
Karate-Boo-Ga-Loo,Jerryo
This Is My Prayer,The Ray Charles Singers
She's Not You,Elvis Presley With The Jordanaires
I Understand (Just How You Feel),Freddie And The Dreamers
New Orleans,Eddie Hodges
All Your Goodies Are Gone (The Loser's Seat),The Parliaments
Runaround,The Regents
Drownin' My Sorrows,Connie Francis
Where Did The Good Times Go,Dick and DeeDee
Where Does Love Go,Freddie Scott
Baby I Need You,The Manhattans
Mama Sang A Song,Stan Kenton
(It's No) Sin,The Duprees featuring Joey Vann
I Confess,New Colony Six
Johnny B. Goode,Dion Di Muci
"Please Help Me, I'm Falling",Rusty Draper
Don't Take It So Hard,Paul Revere & The Raiders Featuring Mark Lindsay
Stay Close To Me,Five Stairsteps & Cubie
Spoonful,Etta & Harvey
Wait A Minute,Tim Tam And The Turn-Ons
Don't Give Up,Petula Clark
"He's Mine (I Love Him, I Love Him, I Love Him)",Alice Wonder Land
Never On Sunday,Don Costa And His Orchestra And Chorus
Papa's Got A Brand New Bag (Part I),James Brown And The Famous Flames
I Can't Stop Thinking Of You,Bobbi Martin
Bonnie Came Back,Duane Eddy His Twangy Guitar And The Rebels
If It Wasn't For Bad Luck,Ray Charles & Jimmy Lewis
We Love You Beatles,The Carefrees
That's Enough,Rosco Robinson
To Be Loved (Forever),The Pentagons
Ol' Mac Donald,Frank Sinatra
"Somewhere, My Love",Ray Conniff And The Singers
Sometime,Gene Thomas
Get Back,The Beatles With Billy Preston
The Phoenix Love Theme (Senza Fine),The Brass Ring featuring Phil Bodner
"Ride, Ride, Ride",Brenda Lee
Sherry,The 4 Seasons
Ghost Riders In The Sky,Baja Marimba Band
Turn Around And Love You,Rita Coolidge
I'll Go Crazy,James Brown And The Famous Flames
Indescribably Blue,Elvis Presley With The Jordanaires and The Imperials Quartet
Misty,"""Groove"" Holmes"
Please Don't Fight It,"Dino, Desi & Billy"
The Green Leaves Of Summer,Kenny Ball and his Jazzmen
Feeling Alright,Joe Cocker
"Oh, Rock My Soul (Part I)","Peter, Paul & Mary"
Darling Take Me Back,Lenny Welch
Sax Fifth Avenue,Johnny Beecher and his Buckingham Road Quintet
I'm Movin' On,Matt Lucas
African Waltz,Cannonball Adderley Orchestra
Land Of 1000 Dances,Cannibal And The Headhunters
Bobby,Neil Scott
I Found Love,Jackie Wilson & Linda Hopkins
Sugar And Spice,The Cryan' Shames
"Baby, You're Right",James Brown And The Famous Flames
Letter From Sherry,Dale Ward
Night Train,The Viscounts
Alvin's Orchestra,David Seville And The Chipmunks
This Land Is Your Land,Ketty Lester
I'm A Fool To Care,Ray Charles
Don't Do It,Micky Dolenz
Memory Lane,The Hippies (Formerly The Tams)
Hook And Sling-Part I,Eddie Bo
Everybody Knows,Steve Lawrence
Go On Home,Patti Page
Mornin' Glory,Bobbie Gentry & Glen Campbell
Kissin' On The Phone,Paul Anka
Toys In The Attic,"Joe Sherman, his Orchestra and Chorus"
Flying Circle,Frank Slay And His Orchestra
There Goes (My Heart Again),Fats Domino
Orange Blossom Special,Billy Vaughn And His Orchestra
Tramp,Otis & Carla
I've Got Five Dollars And It's Saturday Night,George & Gene
Midnight In Moscow,Kenny Ball and his Jazzmen
Goo Goo Barabajagal (Love Is Hot),Donovan/Jeff Beck Group
Everybody's Talkin',Nilsson
Rumble,Jack Nitzsche
Every Beat Of My Heart,Gladys Knight And The Pips
You Gave Me A Mountain,Frankie Laine
You Don't Know What You've Got (Until You Lose It),Ral Donner
Is A Blue Bird Blue,Conway Twitty
Never In A Million Years,Linda Scott
National City,"Joiner, Arkansas Junior High School Band"
I'll See You In My Dreams,Pat Boone
Sunshine Games,The Music Explosion
Hold On,Radiants
Rainbow '65 (Part I),Gene Chandler
Stop Takin' Me For Granted,Mary Wells
Pin The Tail On The Donkey,Paul Peek
I Found A Love - Part 1,Wilson Pickett
Hi Hi Hazel,Gary And The Hornets
She's The One,The Chartbusters
Guilty Of Loving You,Jerry Fuller
Do Your Thing,The Watts 103rd Street Rhythm Band
Such A Night,Elvis Presley With The Jordanaires
"Starlight, Starbright",Linda Scott
The Float,Hank Ballard And The Midnighters
Bless Our Love,Gene Chandler
Without The One You Love (Life's Not Worth While),Four Tops
Till The End Of Time,The Ray Charles Singers
Peter Gunn,Duane Eddy His Twangy Guitar And The Rebels
My Bonnie (My Bonnie Lies Over The Ocean),The Beatles With Tony Sheridan
Bermuda,Linda Scott
Can't Stop Loving You,The Last Word
The Story Of My Love,Paul Anka
Night Theme,The Mark II
"Music, Music, Music",The Sensations Featuring Yvonne
Let A Woman Be A Woman - Let A Man Be A Man,Dyke And The Blazers
"Oowee, Oowee",Perry Como
"For What It's Worth (Stop, Hey What's That Sound)",The Buffalo Springfield
Charade,Henry Mancini And His Orchestra
Hide & Seek,The Sheep
Gypsy Woman,Rick Nelson
Danny Boy,Patti LaBelle And The Blue Belles
The Dartell Stomp,The Mustangs
Special Delivery,1910 Fruitgum Co.
Yet...I Know (Et Pourtant),Steve Lawrence
"The Good, The Bad And The Ugly","Hugo Montenegro, His Orchestra And Chorus"
Keep The Ball Rollin',Jay And The Techniques
Dum-De-Da,Bobby Vinton
Do The Clam,"Elvis Presley With The Jordanaires, Jubilee Four & Carol Lombard Trio"
That's All,Rick Nelson
The Old Lamplighter,The Browns Featuring Jim Edward Brown
Give All Your Love To Me,Gerry And The Pacemakers
Prisoner Of Love,James Brown And The Famous Flames
"Don't Think Twice, It's All Right","Peter, Paul & Mary"
Michelle,Billy Vaughn And His Orchestra
Slip-In Mules (No High Heel Sneakers),Sugar Pie DeSanto
"Your Time Hasn't Come Yet, Baby",Elvis Presley With The Jordanaires
Puff (The Magic Dragon),"Peter, Paul & Mary"
The Way Of Love,Kathy Kirby
Wake Me When It's Over,Andy Williams
It's Up To You,Rick Nelson
Utopia,Frank Gari
Cloudy Summer Afternoon (Raindrops),Barry McGuire
Get It From The Bottom,The Steelers
Mony Mony,Tommy James And The Shondells
Girl (You Captivate Me),? (Question Mark) & The Mysterians
Old Smokey Locomotion,Little Eva
Ain't Gonna Tell Anybody,Jimmy Gilmer And The Fireballs
Those Oldies But Goodies (Remind Me Of You),Little Caesar and The Romans
I Spy (For The FBI),Jamo Thomas & His Party Brothers Orchestra
Chain Of Fools (Part 1),Jimmy Smith
Golden Gate Park,Rejoice!
It Hurts Me,Bobby Goldsboro
I Knew It All The Time,The Dave Clark Five
Happy,The Blades Of Grass
Sweet Young Thing Like You,Ray Charles
She's Just My Style,Gary Lewis And The Playboys
Comin' Down With Love,Mel Gadson
My Girl Has Gone,The Miracles
Just Yesterday,Jack Jones
Lil' Red Riding Hood,Sam The Sham and the Pharaohs
Back Up Train,Al Greene & The Soul Mate's
Shirl Girl,Wayne Newton And The Newton Brothers
Cuando Calienta El Sol (When The Sun Is Hot),Steve Allen and His Orchestra with The Copacabana Trio
My Heart Belongs To Only You,Jackie Wilson
Down Yonder,Johnny And The Hurricanes
Who Cares,Fats Domino
Morning After,Mar-Keys
Above The Stars,Mr. Acker Bilk
Fools Rush In,Rick Nelson
(Seven Little Girls) Sitting In The Back Seat,Paul Evans and the Curls
Watch The Flowers Grow,"The 4 Seasons Featuring the ""Sound of Frankie Valli"""
Crystal Blue Persuasion,Tommy James And The Shondells
Long As The Rose Is Red,Florraine Darlin
I'm Confessin' (That I Love You),Frank Ifield
Me Japanese Boy I Love You,Bobby Goldsboro
California Bound,Ronny And The Daytonas
Tell Me Why,Elvis Presley With The Jordanaires
Makin' Whoopee,Ray Charles
Baby Elephant Walk,The Miniature Men
Don't Bet Money Honey,Linda Scott
Preacherman,Charlie Russo
Look For A Star,Garry Miles
Diane,Joe Harnell And His Orchestra
I Love You,The Volume's
Ball Of Fire,Tommy James And The Shondells
Pepe,Duane Eddy His Twangy Guitar And The Rebels
Mean Old World,Rick Nelson
Up Town,Roy Orbison
I Had A Dream,Paul Revere & The Raiders Featuring Mark Lindsay
Sweet Cherry Wine,Tommy James And The Shondells
History Repeats Itself,Buddy Starcher
Sally Had A Party,Flavor
I Gotta Woman (Part One),Ray Charles and his Orchestra
