Track	Artist	URI	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	duration_ms	time_signature	chorusHit	sections
Friends And Lovers	Carl Anderson & Gloria Loring	spotify:track:2HfKAe4ZlaJXjrggObJ24P	0.529	0.222	3	-16.093	1	0.0298	0.789	0	0.096	0.164	111.196	213013	3	36.49975	11	1
Anti Midas Touch	The Wolfhounds	spotify:track:7p1jnMmX3v3cI3MLXJTcQi	0.472	0.931	4	-9.785	1	0.0958	0.11	0.656	0.347	0.461	130.172	200360	4	55.96006	7	0
This Is The Time	Dennis DeYoung	spotify:track:3VfcrkWaSIm4drCBlhmUzR	0.579	0.607	11	-5.901	1	0.0254	0.691	0	0.213	0.314	94.048	234093	4	30.17471	12	1
Candle In The Wind	Elton John	spotify:track:5khtjkzX0pzH1cjDgM6K6H	0.602	0.536	4	-9.74	1	0.0288	0.183	1.9e-05	0.0802	0.506	124.558	228933	4	26.44828	13	1
Come Get My Love	TKA	spotify:track:3WRsBhC7op436VLz5HXtAL	0.742	0.59	6	-13.621	1	0.0597	0.00227	0.000595	0.0878	0.863	117.521	359000	4	56.87841	17	0
Madam Butterfly (Un Bel Di Vedremo)	Malcolm McLaren	spotify:track:75SqjGbzUnlQzytV5UzKER	0.451	0.651	11	-14.925	1	0.089	0.141	1.11e-06	0.303	0.451	101.668	389667	4	30.1895	13	0
All I Need	Jack Wagner	spotify:track:7LLBFAlUOE6rUHDePQL57a	0.475	0.375	9	-12.023	1	0.0282	0.468	0	0.162	0.166	140.277	209493	4	28.48901	7	1
Indestructible	Four Tops	spotify:track:7CWSuqxO78yfJXOsFaep67	0.647	0.775	0	-13.438	1	0.0346	0.0769	4.84e-06	0.3	0.544	107.724	270893	4	64.62514	13	1
So Ruff, so Tuff	Roger	spotify:track:4HLVuXheyiKJ0URSBka2Cn	0.915	0.768	1	-4.52	1	0.0706	0.278	0.00272	0.0628	0.814	111.381	292600	4	45.11458	14	0
Dreamin'	Will To Power	spotify:track:1OvAWyKGAXJKp0mhLQkiPi	0.764	0.739	7	-10.256	1	0.0444	0.00434	0.113	0.0413	0.499	125.494	459468	4	31.81983	12	0
Steppin' Out	Joe Jackson	spotify:track:1qaS4rwkm52lpkDZVmvF52	0.578	0.535	11	-7.686	1	0.0304	0.0472	0.00125	0.0811	0.545	159.473	259493	4	24.45496	14	0
Maniac	Michael Sembello	spotify:track:0QKfiqpEU4h9ycPSzIFwYe	0.617	0.533	3	-11.516	0	0.0651	0.0891	4.04e-06	0.0415	0.835	158.86	244707	4	31.47914	12	1
Hangin' On You	Nena	spotify:track:1mdywNYzcUNQnKPveKsZeF	0.812	0.415	0	-16.253	1	0.0343	0.000135	0.408	0.225	0.849	108.128	255467	4	36.36509	10	0
A	The Associates	spotify:track:0KJqmv9ErQIM4J8NPVKBjR	0.619	0.866	2	-6.297	1	0.069	0.13	1.04e-05	0.717	0.951	140.964	235747	4	56.1702	12	0
The Lover In Me	Sheena Easton	spotify:track:6pvIzUyq2yxvIEIK8i6hRs	0.818	0.808	7	-8.536	0	0.0467	0.0274	0	0.0592	0.931	115.221	301373	4	27.07788	16	1
Big New Beginning	The Big Dish	spotify:track:1wktwcXEP61BDofavGBG3V	0.573	0.781	0	-11.848	1	0.0389	0.108	8.75e-06	0.0422	0.759	138.621	204000	4	52.0204	8	0
Any Love	Luther Vandross	spotify:track:6BixR2rv0aozttgKLDlC5s	0.691	0.648	5	-7.381	0	0.0281	0.488	0	0.0814	0.707	92.854	302533	4	40.74725	14	1
Taking It All Too Hard - 2007 Remaster	Genesis	spotify:track:6P2lntEX32VCDfkmPHrpxU	0.733	0.567	4	-9.944	1	0.0254	0.282	0.00774	0.0604	0.584	109.313	238213	4	37.23324	13	0
Letters To A Friend	I Start Counting	spotify:track:10VJKn4rCz5N3DH6bwiae0	0.648	0.584	2	-11.939	1	0.0518	0.368	2.45e-05	0.357	0.654	132.986	226000	4	36.12868	10	0
Rainy Day Mushroom Pillow	Strawberry Alarm Clock	spotify:track:7wSgfoHj6S3yDpizzLUYVd	0.477	0.406	11	-12.832	0	0.0267	0.0781	0.229	0.0958	0.414	99.901	187933	4	62.38451	8	0
Where The Boys Are	Connie Francis	spotify:track:4UNRqPzaVVim2E5VN7ICwX	0.397	0.316	7	-8.632	1	0.0302	0.721	0	0.221	0.434	72.483	156907	4	41.30999	9	0
If It Isn't Love	New Edition	spotify:track:7JmPqImeW3kLoYVNBA9v11	0.588	0.856	5	-12.418	0	0.0378	0.0915	2.62e-05	0.365	0.781	97.968	309840	4	57.25343	8	1
Bad Medicine	Bon Jovi	spotify:track:3btRbeejnidrYVyJt6J7Gz	0.55	0.971	9	-3.796	1	0.0353	0.0495	0	0.091	0.819	118.709	316707	4	17.17741	12	0
Smooth Operator	Sade	spotify:track:3XEtw7t4V5sfd2vtkp0ql7	0.734	0.581	9	-6.619	0	0.032	0.24	0.000585	0.0298	0.962	119.337	258693	4	25.67218	11	1
