Track,Artist,URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorusHit,sections
A Thousand Shadows,The Seeds,spotify:track:49wmhN7AAF7acdnDYlN8dj,0.515,0.6,9,-10.669,0,0.035,0.602,0,0.162,0.577,140.271,152227,4,23.6253,8
Zip Code,The Five Americans,spotify:track:7hTW791CEdFSlw2wouCVYP,0.393,0.594,9,-5.986,1,0.0267,0.0394,0,0.0479,0.927,139.535,175040,4,40.89166,7
I'll Bet You,Funkadelic,spotify:track:5y1Cy3mjj9Fd7NO93V75WX,0.567,0.731,10,-10.823,0,0.0428,0.19,0,0.154,0.649,91.404,239720,4,33.91832,10
"Softly, As I Leave You",Frank Sinatra,spotify:track:5L1DIODUFYbObdwx7AJnZM,0.277,0.34,4,-13.868,1,0.0314,0.656,0,0.364,0.342,80.587,171707,4,50.1304,10
"Help Me, Rhonda",The Beach Boys,spotify:track:3haZcHm3HydDVxm3je3Zmg,0.544,0.748,1,-6.243,1,0.0298,0.311,0.000716,0.0633,0.825,139.739,168240,4,28.88922,12
Walk On By,Leroy Van Dyke,spotify:track:1Y6THdMlU9Cr4lgnUAR09L,0.58,0.452,10,-11.158,1,0.0364,0.795,1.13e-05,0.186,0.949,132.607,144200,4,45.71401,7
Punish Her,Bobby Vee,spotify:track:4NN3TFbwguBZAbQ1N2Kk2z,0.338,0.474,9,-11.337,1,0.0693,0.819,0,0.103,0.688,163.464,117467,4,41.55252,5
By The Time I Get To Phoenix,Isaac Hayes,spotify:track:1S73njkLJ5orszfbNeqDQs,0.398,0.261,8,-13.547,1,0.0451,0.215,8.32e-05,0.13,0.069,146.594,1124153,4,21.5263,35
You're The Reason I'm Living,Bobby Darin,spotify:track:1r3HrhoBpczK4UryeoK1mO,0.43,0.204,2,-12.807,1,0.031,0.77,0,0.252,0.408,75.058,146533,4,59.14387,7
Lumberjack,Brook Benton,spotify:track:7HiSHQ6K5KqV31p8YMraBd,0.653,0.255,4,-21.061,1,0.0359,0.654,2.31e-06,0.275,0.757,104.098,139440,4,22.43673,9
Princess In Rags,Gene Pitney,spotify:track:0c9ckWyi7iwVCieZy7jixX,0.734,0.496,0,-7.441,1,0.0341,0.691,1.99e-06,0.136,0.733,117.31,161987,4,30.2803,9
Little Arrows,Leapy Lee,spotify:track:6thVOj1grfYYEvru4PSP2J,0.651,0.674,11,-8.56,1,0.0386,0.627,0,0.188,0.937,104.065,163840,4,29.43638,8
Life,Sly & The Family Stone,spotify:track:5Urq07KXG79DCGsEFRulmp,0.692,0.641,0,-9.621,1,0.0603,0.265,0.000473,0.0642,0.848,121.276,180933,4,19.1357,10
