Elderly Woman Behind the Counter in a Small Town,Pearl Jam,spotify:track:6EPKMxXr5kZu9xJmycquGk
E-Pro,Beck,spotify:track:01MBhRpvFkbeRwAp7gcF2W
More Human Than Human,White Zombie,spotify:track:1uEuVi8nSI6Y2VzJj6DoDd
Thunder Kiss '65,White Zombie,spotify:track:5YMOmehjfRxEQcWPuv4ZG8
Hanginaround,Counting Crows,spotify:track:2VzE3kCeZbEb9cBXUI7U9C
A Long December,Counting Crows,spotify:track:4t9lT9WMlCsQRXkx8dyX2y
Round Here,Counting Crows,spotify:track:4KeNKOPLRnUoW8rjIA9gd3
Bent,Matchbox Twenty,spotify:track:6fA7akEuTUL3dW1V0GELaZ
California Love - Original Version,2Pac,spotify:track:3djNBlI7xOggg7pnsOLaNm
Changes,2Pac,spotify:track:00i2HU7TEzzftShjRrDSEF
I Believe I Can Fly,R. Kelly,spotify:track:0AIfr4oi192dWLRJZrRz1O
Kiss from a Rose,Seal,spotify:track:0z5E34e7ZT3XKMYQNXh6tH
Fly Like an Eagle,Seal,spotify:track:1Y5IKAs7tuIqLHxUVjphup
Are You Gonna Go My Way,Lenny Kravitz,spotify:track:00tKvmHHfNvXJjuwBm3kDI
Fly Away,Lenny Kravitz,spotify:track:0n0eMsX7WgEtc7dlscbuKU
American Woman,Lenny Kravitz,spotify:track:2BdSaGVMxZzEeJYjjrlo6n
U Got It Bad,Usher,spotify:track:7J41dYQolQJEtj3UmKLu5r
Yeah! (feat. Lil Jon & Ludacris),Usher,spotify:track:5rb9QrpfcKFHM1EUbSIurX
Confessions,Usher,spotify:track:4719foL6R25RSHSJ1shNaj
Confessions Part II - Confessions Special Edition Version,Usher,spotify:track:7wBThXx7BGZHJJ3aN3OPvv
Crazy,K-Ci & JoJo,spotify:track:3opZewONQQhh90M75Qrm83
Jaded,Aerosmith,spotify:track:4iihDHIoKZdOeOW1kFDUtR
Champagne Supernova,Oasis,spotify:track:4Jgp57InfWE4MxJLfheNVz
Don't Look Back In Anger,Oasis,spotify:track:5oH7Fs4Q8zRfpceWwJyHji
Good,Better Than Ezra,spotify:track:6ILtPjGYb3mvprfsCaJRTA
Desperately Wanting,Better Than Ezra,spotify:track:65yiO2FFFanZhO7rDNQ9mp
A Lifetime,Better Than Ezra,spotify:track:2pyoc8AhUKhe6i5l8KaSo4
Mother Mother,Tracy Bonham,spotify:track:0tvuYipSMMgtBdEYkm30LC
