Track,Artist,URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorusHit,sections
I Belong To You,Love Unlimited,spotify:track:2hEEvYikDJKfwQVXGj8mTK,0.583,0.557,5,-7.027,1,0.0338,0.416,0.00109,0.575,0.523,94.852,229040,3,52.52671,8
I'm Sorry,John Denver,spotify:track:5opuphTIXgUUClEs5mnIQN,0.447,0.236,7,-15.258,1,0.0313,0.891,0.00151,0.201,0.527,127.596,211773,4,34.22648,10
How Can I Be Sure,David Cassidy,spotify:track:3cmb7mFWij3I2hKfGSRE3z,0.309,0.415,2,-11.441,0,0.0342,0.768,0,0.345,0.238,170.85,187360,3,27.07127,8
Peace Will Come (According To Plan),Melanie,spotify:track:1lMhE01kAot77D8M17ac3m,0.37,0.295,8,-7.307,1,0.0278,0.567,1.91e-06,0.146,0.269,132.453,199027,4,43.80021,9
Tryin' To Love Two,William Bell,spotify:track:6dPkTSUvQGUh705sLQ13HC,0.592,0.499,1,-11.317,1,0.0531,0.243,9.32e-05,0.116,0.77,106.555,207293,4,35.84518,10
Ain't No Mountain High Enough,Diana Ross,spotify:track:1KbuhBnzMHp4eq1q6flhWd,0.393,0.792,8,-5.076,1,0.0448,0.191,0.00364,0.376,0.379,98.757,215200,4,26.48016,10
Smile A Little Smile For Me,The Flying Machine,spotify:track:3SoLksUr3QzyMDLX0Cj5me,0.616,0.381,0,-11.528,1,0.0298,0.504,0,0.29,0.488,89.766,175909,4,24.46825,8
Nights Are Forever Without You,England Dan & John Ford Coley,spotify:track:5RZZxDnWYB9NktDovhyQyj,0.543,0.442,4,-11.867,1,0.0284,0.476,0,0.346,0.365,84.321,170920,4,41.44024,6
How Do You Feel The Morning After,Millie Jackson,spotify:track:0hqrrD0MKbPqetb5nW1WR4,0.39,0.475,8,-11.564,1,0.0706,0.631,0,0.365,0.43,145.538,179453,4,42.95876,8
"Oh, Babe, What Would You Say?",Hurricane Smith,spotify:track:2LY6g95pnSwCFG6TBKiZwv,0.724,0.816,0,-4.572,1,0.0377,0.00667,0.000925,0.0591,0.745,148.863,196480,4,38.54192,8
Thank You For Being A Friend,Andrew Gold,spotify:track:5yNUgA66PbcPIJPOU2eBwR,0.695,0.568,3,-13.572,1,0.0294,0.166,0,0.125,0.786,111.887,280760,4,42.70852,11
Beyond The Blue Horizon,Lou Christie,spotify:track:5w0A5gWwZaIig9EMnFEY3q,0.241,0.487,10,-11.312,1,0.0322,0.566,0.144,0.0683,0.386,151.81,224933,4,32.33824,12
Welcome To Our World (Of Merry Music),Mass Production,spotify:track:0sQ4OcMgLkLahjZ3D1D4OU,0.694,0.844,0,-13.373,1,0.0353,0.175,0.204,0.029,0.921,120.9,452920,4,23.93152,19
Get Down,Gilbert O'Sullivan,spotify:track:4GjIIjBM20NhaBrvQKkQ5I,0.77,0.888,1,-6.564,1,0.0342,0.511,8.39e-06,0.0472,0.919,124.659,159867,4,43.69489,7
Car Wash,Rose Royce,spotify:track:07RgAeKIlahtqeCw25SkTu,0.649,0.443,9,-15.71,0,0.116,0.194,5.82e-05,0.0514,0.798,117.67,308000,4,48.4183,14
Stayin' Alive,Bee Gees,spotify:track:3mRM4NM8iO7UBqrSigCQFH,0.703,0.826,10,-7.179,0,0.0341,0.0322,0.00629,0.179,0.945,103.564,285373,4,24.04446,13
"Pinball Wizard/See Me, Feel Me",The New Seekers,spotify:track:561H1vi4xYPD0uQ5EOPrch,0.475,0.468,6,-11.869,1,0.0427,0.229,1.83e-06,0.536,0.542,130.239,183667,4,43.45311,8
(Just Like) Romeo And Juliet,Sha Na Na,spotify:track:3UDSfh7CyfmbZ2TbmafkHV,0.749,0.738,3,-11.538,1,0.0388,0.168,4.6e-06,0.113,0.979,141.185,135837,4,27.95369,7
All The Young Dudes,Mott The Hoople,spotify:track:0WNGPpmWqzPnk0psUhJ3SX,0.429,0.668,4,-7.539,0,0.044,0.208,0,0.538,0.398,77.737,211067,4,27.83385,9
