This Corrosion - 12'' Version,Sisters of Mercy,spotify:track:6KXoZTxng4hpLxUWHzQwa1
Mr. Tambourine Man,The Byrds,spotify:track:691UfzALYfLjSwfenfOg4N
"Trouble - 12"" Club Remix",Nia Peeples,spotify:track:54KKnabqbf4LsNdZnFn6s7
Just for the Night - Remastered,"Evelyn ""Champagne"" King",spotify:track:006iUC2N6YCQOUbbaClIFF
Fever,Peggy Lee,spotify:track:2CeqxyOZEyiL6pTDYZ9gPH
World Shut Your Mouth,Julian Cope,spotify:track:2GF0D3d6LKIsDnk8ufpBQa
"Reckless - 7"" Edit",Afrika Bambaataa,spotify:track:3F6u1fifH2b24PMOutM8XR
What's Love Got to Do with It - 2015 Remaster,Tina Turner,spotify:track:3ErsOxqe2RmXkR65wkygDz
Seeing Is Believing,The Three O'Clock,spotify:track:15fT3MOD3rUF6EQl6YxWOw
Maneater - Extended Club Mix,Daryl Hall & John Oates,spotify:track:0St25ApwD8XWDvhseM1b6C
Mind Games - Club Vocal,Cultural Vibe,spotify:track:5OtZpy3B2FI3T3zoTlhUhH
No Lies,The S.O.S Band,spotify:track:4Ap2WDauABGO1s2DvOoJXg
Open Mind,Moev,spotify:track:2eKLU8pSSlCtNHhlkoZPbn
This Is for the Lover in You,Shalamar,spotify:track:78zalqlTeKYmNiQBXANKDl
L Is for Lover,Al Jarreau,spotify:track:7yTYLzVNvTipjKDCBT40ji
We Rock,Dio,spotify:track:4cMKvXUOLFbC6lRLCz5HPg
Party People (Club Rub Dub Rub),Royal House,spotify:track:6tUM2xhSfqZYWjTYssrn36
One Of Those Things,Dexys Midnight Runners,spotify:track:6BBaCTPyjkxoVOOsBnhMyB
"Behind the Mask - 12"" Version",Greg Phillangnes,spotify:track:0Q1WAPsyNtUTPvB5rfKjng
Don't Drop Bombs,Liza Minnelli,spotify:track:0eE48pgg8MlL1PudOn8mIB
When Boys Talk,Indeep,spotify:track:6tqfE781Be3XBUFowp8ulU
Big Love,Fleetwood Mac,spotify:track:4npQqHOi5Zxxyw1oarSivu
My Heart Gets All the Breaks,Monet,spotify:track:6j380z91UdUDjhkueYkEyq
"Let's Celebrate - 12"" Mix",Skyy,spotify:track:4jRmhOh3bSHprHHFOtxgr9
Reptile,The Church,spotify:track:5TVKP7kDo707Pkwt4AozoT
Walk On By - Remix,D-Train,spotify:track:3tQiZ8mUZc3iHg2lC6E4LL
Voodoo,Black Sabbath,spotify:track:71JpzDTq6ri6c8Z58w4MX5
Stay,Maurice Williams & The Zodiacs,spotify:track:6xi2kRGOrdLJNo4wFyaCis
Ghosts of American Astronauts,Mekons,spotify:track:34O1ZJPLC9fSFptMlW8Dkx
I Wanted To Tell Her,Ministry,spotify:track:24Upu7Ne9xaHYr4vnw1jqI
Paris,Taxi Girl,spotify:track:79bZelGWXPOeoHNzpJgy2q
Bring on the Dancing Horses,Echo & the Bunnymen,spotify:track:5uh98HlgvoJd2zRWAduj2Y
Need Somebody New (Larry Levan Mix),Jamaica Girls,spotify:track:559nvAm46jiBUhPRx6IQ47
Revolution - Remastered,The Beatles,spotify:track:2dJVX40gxhBSPfoPP8nmRo
Mony Mony - Downtown Mix / 24-Bit Digitally Remastered 2001,Billy Idol,spotify:track:2LbkpJUH052AvFcNIgjHTO
High,Skyy,spotify:track:0tQ92AMarYMFFcLnJPjBCT
Set Me Free,The Kinks,spotify:track:2WMF9NbGS3nnBjX0RGLPTk
Down to My Last Come and Get Me,Bobby Bare,spotify:track:2RodzsvRY5wG602GunKnUd
Insoportablemente Bella,Emmanuel,spotify:track:4wWGlu2iTCkBWHooiTxSUE
Diddy Wah Diddy,Captain Beefheart & His Magic Band,spotify:track:7tWQKJnPrHVxB6MnoBivgb
Love Buzz - Richie Revera Mix,Voggue,spotify:track:0zZSXnbytAy0laJzMsWbr9
Eyes Without A Face - 1999 - Remaster,Billy Idol,spotify:track:6qI1KfY3nomDW1s0BrUInE
Medley: Yesterday Once More / Nothing Remains the Same - Remastered Remix Version,The Spinners,spotify:track:35LTrqOV18TNcjkqzIZcvm
State of the Nation,New Order,spotify:track:3y6UNT1bb2eYblTWFT4n77
Wait - Long Version,The Blow Monkeys,spotify:track:70M2ZfPO5nbs62FWbt5a9M
Dancing with Tears in My Eyes - 2009 Remaster,Ultravox,spotify:track:0eUZZXQq2obaF9dmJ1Wuwk
EsotÃ©rico,Gilberto Gil,spotify:track:12hYZFVdD6eniWT0FN1vBE
All I Do Is Think of You,Troop,spotify:track:4XhrowM5IKGCRrY2HzYBH3
Batman,NaÃ¯ve,spotify:track:7iGe2EfnaIHRf6JxMwtZR4
Just A Mirage,Jellybean,spotify:track:0sUuI0HJGnnLmHGzhVCm0l
New Risen,Eyeless In Gaza,spotify:track:2FEAy5yBfjOxENb752I0UY
Fallen Angel - Remastered,Poison,spotify:track:27kMqdX3aoN3gBndVKlTfR
Since I Fell for You,Apollonia,spotify:track:6xeoTd1cRWI6Jo1mbPZo2S
I Want Your (Hands on Me),SinÃ©ad O'Connor,spotify:track:2Y0RrFJ7HcvGadAQHJQOiD
Real Wild Child (Wild One),Iggy Pop,spotify:track:6ZAwEE4kTdtvyE66iRhFxR
Boys,Mary Jane Girls,spotify:track:2soijtS8qICl1y0tWYU6ZI
Heartbeat - Extended Mix,Seduction,spotify:track:3PFFwk0K0TrFmBC9ZEZaeg
Dear Prudence,Siouxsie and the Banshees,spotify:track:34tFidHrETMAjsiK87WVVW
Ego Maniac,Jocelyn Brown,spotify:track:2TvV3f9EMRUm00c5tHI0nV
Love T.K.O.,Teddy Pendergrass,spotify:track:2oGn3OlWXAKxvFJa07HipY
You'll Never Walk Alone,Gerry & The Pacemakers,spotify:track:05niRYnZWL75PjoZfEtIFm
