Track,Artist,URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorusHit,sections
Our Lucid Dreams,Red Apollo,spotify:track:5jaXamqYiF5mri2d6Q1Z19,0.233,0.262,9,-18.587,0,0.0518,0.985,0.842,0.118,0.0376,126.394,191347,3,22.62996,8
Spit Out The Bone,Metallica,spotify:track:3xEBXgMpYii542EWosg8l7,0.163,0.986,9,-3.926,1,0.0843,8.96e-06,0.0576,0.147,0.473,168.211,429199,4,26.43743,22
The Last Leaf,Monolord,spotify:track:0VwnpMHygq0filGVol7yn0,0.375,0.659,4,-9.571,0,0.0325,0.00202,0.889,0.173,0.372,130.437,314656,4,76.14834,6
In Lieu of Youth,Vasudeva,spotify:track:5TvdWiIgu1mBB2AVGIF3yo,0.384,0.963,2,-5.725,1,0.0446,0.00192,0.898,0.137,0.668,164.91,245270,4,44.55517,10
Surfaces and Depths,White Ward,spotify:track:7cqW2LGn277YeRb1McHp9i,0.455,0.854,6,-6.773,0,0.0924,0.152,0.0178,0.0977,0.0941,159.954,375510,4,25.72291,9
Astorolus - the Great Octopus,Candlemass,spotify:track:7v6DwMJy1kPV874CfuN1mY,0.274,0.708,6,-5.399,1,0.0508,0.000389,0.315,0.255,0.208,104.798,402520,4,16.22896,12
Shark Attack,Grouplove,spotify:track:0i4ggi1qGPbr8OqaKBm5iY,0.449,0.635,1,-7.557,1,0.0397,0.000264,4.65e-05,0.332,0.273,166.04,238627,4,38.11062,10
Relancer,Bossk,spotify:track:0XERGozvDcpyOwVpwd9An3,0.128,0.371,4,-13.344,0,0.0332,0.048,0.775,0.184,0.0724,75.441,464142,4,77.75345,19
A Desolation Song,Agalloch,spotify:track:2s9n8OMoO4jK0FjXyijNVb,0.265,0.666,9,-9.228,0,0.0427,0.375,0.214,0.223,0.319,82.262,308523,4,249.9429,5
The Summer Ends,American Football,spotify:track:3rwNbDVvsW6HtV7B3xOSpb,0.38,0.417,4,-10.488,1,0.0306,0.389,0.039,0.102,0.118,165.914,286040,1,46.16888,10
The Pale Host,Sojourner,spotify:track:7ETPoFBaY7jRAoTZ66DdGP,0.161,0.0921,10,-19.786,1,0.0386,0.956,0.0181,0.109,0.036,149.893,271500,3,31.6225,12
The Morning After,A Nice Day For An Earthquake,spotify:track:3VYI5WQ2PyVV7SrTFisgjN,0.383,0.685,2,-8.482,1,0.0535,0.00439,0.787,0.0906,0.166,118.055,360162,4,33.73839,14
Taxman,Bourbon Boys,spotify:track:3og32sRneMRW1jnKQ8iM2q,0.64,0.792,3,-5.41,1,0.0388,0.3,0.000236,0.205,0.833,99.993,223982,4,64.49466,10
